Date,Transaction Description,Category,Amount,Type,Month
2021-06-02,Forward sense cause write right.,utilities,1915.87,Expense,2021-06
2021-06-02,Approach join stuff future.,health & fitness,1964.95,Expense,2021-06
2021-06-03,Ahead event yeah make.,investment,820.0,Income,2021-06
2021-06-06,Wait it quickly produce beat.,salary,1982.06,Expense,2021-06
2021-06-06,Require bank child.,utilities,734.16,Expense,2021-06
2021-06-06,First blood accept final.,shopping,823.45,Expense,2021-06
2021-06-09,Bill beautiful issue.,food & drink,1580.56,Expense,2021-06
2021-06-11,Mention billion bed never others.,rent,666.08,Expense,2021-06
2021-06-11,Activity including single right.,shopping,575.45,Expense,2021-06
2021-06-14,Occur college herself.,utilities,673.39,Expense,2021-06
2021-06-15,Feeling manage as.,utilities,1834.33,Expense,2021-06
2021-06-16,Inside machine baby.,shopping,266.61,Expense,2021-06
2021-06-20,Result many pattern.,rent,626.07,Expense,2021-06
2021-06-20,Career according.,health & fitness,1628.24,Expense,2021-06
2021-06-22,Success here television key.,rent,1295.59,Expense,2021-06
2021-06-23,Carry fly water cut fire.,health & fitness,46.28,Expense,2021-06
2021-06-24,Fact reason make office.,entertainment,690.05,Expense,2021-06
2021-06-26,Heavy staff hotel box.,entertainment,460.82,Expense,2021-06
2021-06-27,Or nation race.,investment,2923.0,Income,2021-06
2021-06-28,Well left.,rent,1020.3,Expense,2021-06
2021-06-28,Something story attorney summer.,food & drink,1327.24,Expense,2021-06
2021-06-28,Cause field education child.,utilities,1198.52,Expense,2021-06
2021-06-28,Available wrong look husband.,investment,1856.0,Income,2021-06
2021-06-29,Myself so growth time.,food & drink,827.61,Expense,2021-06
2021-07-04,Point be shoulder price great.,entertainment,1939.48,Expense,2021-07
2021-07-04,Worker quality hundred sell whole.,salary,475.67,Expense,2021-07
2021-07-04,Action else.,salary,1808.91,Expense,2021-07
2021-07-06,Newspaper reach determine hear leg.,other,4282.0,Income,2021-07
2021-07-07,General agency bit.,shopping,1010.78,Expense,2021-07
2021-07-09,Break wait.,utilities,1635.61,Expense,2021-07
2021-07-09,Find lay deal lot.,utilities,1747.27,Expense,2021-07
2021-07-10,Just recent.,other,3540.0,Income,2021-07
2021-07-10,Feel special.,rent,1425.69,Expense,2021-07
2021-07-11,Support possible.,rent,577.28,Expense,2021-07
2021-07-11,Might necessary former.,travel,904.15,Expense,2021-07
2021-07-11,Discussion if continue policy.,shopping,192.51,Expense,2021-07
2021-07-12,Ahead pass culture or.,salary,1770.41,Expense,2021-07
2021-07-13,Relate day.,shopping,115.98,Expense,2021-07
2021-07-14,Big the cost for leader.,entertainment,778.47,Expense,2021-07
2021-07-15,Month police others particularly.,investment,730.0,Income,2021-07
2021-07-19,Girl suddenly.,rent,1679.96,Expense,2021-07
2021-07-19,Try opportunity public.,utilities,283.82,Expense,2021-07
2021-07-23,Draw bring health.,salary,1395.18,Expense,2021-07
2021-07-23,Home others offer institution main.,other,4174.0,Income,2021-07
2021-07-24,Never majority cell.,rent,47.82,Expense,2021-07
2021-07-28,People tend weight machine.,utilities,1102.12,Expense,2021-07
2021-07-29,White measure manager range.,shopping,231.26,Expense,2021-07
2021-08-02,Major bar air set.,travel,252.48,Expense,2021-08
2021-08-06,Ever mrs.,salary,134.99,Expense,2021-08
2021-08-07,Not significant manager member.,salary,1197.51,Expense,2021-08
2021-08-07,Environmental myself.,investment,1676.0,Income,2021-08
2021-08-08,State among rest national wrong.,food & drink,1233.47,Expense,2021-08
2021-08-09,Fear yourself last.,shopping,382.75,Expense,2021-08
2021-08-11,Keep yes.,health & fitness,144.68,Expense,2021-08
2021-08-13,Specific onto go.,food & drink,787.0,Expense,2021-08
2021-08-13,Pattern size spend.,shopping,1962.27,Expense,2021-08
2021-08-15,Go exactly much food region.,food & drink,720.62,Expense,2021-08
2021-08-16,Environment teach world quickly believe.,investment,1349.0,Income,2021-08
2021-08-18,Yeah term.,health & fitness,275.49,Expense,2021-08
2021-08-20,Economic represent stock.,health & fitness,1628.88,Expense,2021-08
2021-08-21,Central plan physical heart.,other,4420.0,Income,2021-08
2021-08-21,Idea seek.,utilities,135.57,Expense,2021-08
2021-08-22,Wear force able similar.,salary,83.6,Expense,2021-08
2021-08-23,Play recently sure somebody.,entertainment,1772.72,Expense,2021-08
2021-08-24,Why station manager.,travel,1035.61,Expense,2021-08
2021-08-25,Front official not.,salary,514.09,Expense,2021-08
2021-08-27,Thus several animal phone.,entertainment,579.36,Expense,2021-08
2021-08-29,Buy tax.,food & drink,1732.94,Expense,2021-08
2021-09-05,A when dark read.,rent,1600.69,Expense,2021-09
2021-09-06,City usually ever.,shopping,1489.18,Expense,2021-09
2021-09-09,Bar professor power.,shopping,684.68,Expense,2021-09
2021-09-09,Personal rise sense investment.,other,3509.0,Income,2021-09
2021-09-09,Ability live.,travel,1604.28,Expense,2021-09
2021-09-10,Difficult quite act receive stage.,rent,866.91,Expense,2021-09
2021-09-11,Local director become.,utilities,1095.49,Expense,2021-09
2021-09-11,Finish thing.,rent,662.56,Expense,2021-09
2021-09-11,Similar send card year.,salary,1209.22,Expense,2021-09
2021-09-11,Most across.,salary,709.58,Expense,2021-09
2021-09-15,Goal defense security turn.,other,4063.0,Income,2021-09
2021-09-16,Beautiful beyond sell.,food & drink,159.33,Expense,2021-09
2021-09-16,White fire cause everybody.,health & fitness,1031.04,Expense,2021-09
2021-09-17,Network outside parent.,utilities,1906.05,Expense,2021-09
2021-09-17,Day parent country.,other,785.0,Income,2021-09
2021-09-19,Position six soldier.,investment,3500.0,Income,2021-09
2021-09-19,History drop point audience.,food & drink,1214.14,Expense,2021-09
2021-09-19,Value car team nothing.,health & fitness,750.31,Expense,2021-09
2021-09-19,Raise several west side admit.,utilities,1063.63,Expense,2021-09
2021-09-20,Energy always.,travel,506.73,Expense,2021-09
2021-09-21,Media pick may indeed.,investment,4588.0,Income,2021-09
2021-09-28,Policy mrs.,rent,530.94,Expense,2021-09
2021-10-01,Base bad tv.,salary,437.0,Expense,2021-10
2021-10-07,Force only shake power poor.,salary,408.35,Expense,2021-10
2021-10-08,Role suffer around beat.,investment,4203.0,Income,2021-10
2021-10-13,Law participant.,other,1219.0,Income,2021-10
2021-10-13,Budget remain reduce.,health & fitness,1339.0,Expense,2021-10
2021-10-13,Well mission situation result.,travel,1783.75,Expense,2021-10
2021-10-16,Camera sit environmental though.,utilities,1589.46,Expense,2021-10
2021-10-20,Southern evening ask republican.,rent,1970.41,Expense,2021-10
2021-10-21,Baby lawyer growth matter note.,entertainment,1582.84,Expense,2021-10
2021-10-22,Effort bill off.,other,4328.0,Income,2021-10
2021-10-24,Scientist able teach.,utilities,1227.78,Expense,2021-10
2021-10-24,Animal hair turn.,other,3761.0,Income,2021-10
2021-10-27,Need trial.,salary,1056.13,Expense,2021-10
2021-10-27,Focus indicate result.,rent,259.4,Expense,2021-10
2021-10-30,Number budget.,rent,905.45,Expense,2021-10
2021-11-03,Development middle animal.,health & fitness,265.39,Expense,2021-11
2021-11-04,Theory tend.,utilities,1537.89,Expense,2021-11
2021-11-05,Beat lead hard factor.,investment,1517.0,Income,2021-11
2021-11-05,Drug happy will young simply.,travel,337.67,Expense,2021-11
2021-11-06,Character usually agency.,entertainment,698.59,Expense,2021-11
2021-11-07,Player really act friend.,travel,1693.41,Expense,2021-11
2021-11-10,Billion morning draw.,travel,259.09,Expense,2021-11
2021-11-15,Win central.,rent,1010.12,Expense,2021-11
2021-11-16,Analysis discuss.,investment,1902.0,Income,2021-11
2021-11-17,Red head window be.,health & fitness,1686.63,Expense,2021-11
2021-11-18,Card star avoid nothing.,food & drink,171.63,Expense,2021-11
2021-11-18,Door end fire.,travel,1305.75,Expense,2021-11
2021-11-19,Fish evening avoid dark.,shopping,1240.04,Expense,2021-11
2021-11-21,Choice clearly.,other,2974.0,Income,2021-11
2021-11-21,Image movie who debate.,shopping,601.89,Expense,2021-11
2021-11-21,Enter build citizen rather.,investment,1794.0,Income,2021-11
2021-11-23,Structure foreign before.,salary,934.24,Expense,2021-11
2021-11-26,How any federal star.,utilities,632.04,Expense,2021-11
2021-11-27,Weight take.,health & fitness,1950.99,Expense,2021-11
2021-11-28,Economic left sound cause activity.,other,4718.0,Income,2021-11
2021-12-01,Cup hundred rather.,health & fitness,491.06,Expense,2021-12
2021-12-02,Only true avoid young cup.,other,2530.0,Income,2021-12
2021-12-03,Begin suggest speak.,investment,2877.0,Income,2021-12
2021-12-03,Walk anything.,shopping,504.06,Expense,2021-12
2021-12-08,Start house ahead raise.,utilities,1628.82,Expense,2021-12
2021-12-09,Democrat cost evidence third.,health & fitness,387.77,Expense,2021-12
2021-12-09,People early far include nearly.,other,4585.0,Income,2021-12
2021-12-11,Evidence case.,salary,56.12,Expense,2021-12
2021-12-12,Eat yes myself affect him.,salary,1933.71,Expense,2021-12
2021-12-13,Name machine tree maybe.,health & fitness,106.83,Expense,2021-12
2021-12-13,Conference five despite.,salary,578.64,Expense,2021-12
2021-12-15,Speak line.,investment,4030.0,Income,2021-12
2021-12-15,Yourself wind beyond prevent entire.,other,3496.0,Income,2021-12
2021-12-16,Offer work home.,health & fitness,100.03,Expense,2021-12
2021-12-19,Door fish scene.,investment,3469.0,Income,2021-12
2021-12-20,Agreement red way nor none.,rent,778.83,Expense,2021-12
2021-12-20,My compare also argue.,travel,1652.37,Expense,2021-12
2021-12-23,Money a.,rent,266.04,Expense,2021-12
2021-12-24,Future concern sort.,other,3277.0,Income,2021-12
2021-12-26,Against only.,health & fitness,1512.38,Expense,2021-12
2021-12-28,Suffer team.,other,4596.0,Income,2021-12
2021-12-31,Relate product only from.,investment,1622.0,Income,2021-12
2022-01-01,Wish run join.,salary,1043.47,Expense,2022-01
2022-01-03,Company why really up.,investment,3186.0,Income,2022-01
2022-01-03,Program sport her.,health & fitness,333.38,Expense,2022-01
2022-01-03,Concern ability reduce.,travel,1191.51,Expense,2022-01
2022-01-04,Surface side nothing consider.,salary,1420.39,Expense,2022-01
2022-01-05,Determine not view cell seat.,food & drink,743.03,Expense,2022-01
2022-01-06,Word collection those become.,shopping,1171.57,Expense,2022-01
2022-01-08,Activity decide really go.,food & drink,1197.85,Expense,2022-01
2022-01-09,Answer just.,entertainment,1445.59,Expense,2022-01
2022-01-13,This manage her.,utilities,1053.22,Expense,2022-01
2022-01-13,Big look tell prepare.,shopping,304.07,Expense,2022-01
2022-01-14,Later son almost.,food & drink,1149.41,Expense,2022-01
2022-01-16,End bit game thousand.,entertainment,47.69,Expense,2022-01
2022-01-16,Natural together.,utilities,831.79,Expense,2022-01
2022-01-18,Order party lot all.,salary,1746.91,Expense,2022-01
2022-01-18,Threat church big day couple.,food & drink,1414.49,Expense,2022-01
2022-01-21,Enter example down anyone occur.,health & fitness,1996.26,Expense,2022-01
2022-01-21,Approach about because.,shopping,634.37,Expense,2022-01
2022-01-22,Best deal point.,other,4975.0,Income,2022-01
2022-01-23,Such final however major.,travel,1224.05,Expense,2022-01
2022-01-24,Politics hold.,investment,2785.0,Income,2022-01
2022-01-28,Hard knowledge enjoy let.,entertainment,1883.56,Expense,2022-01
2022-02-01,Nor character recent.,travel,1412.75,Expense,2022-02
2022-02-02,Property space.,salary,640.91,Expense,2022-02
2022-02-05,Dinner article hit mission whole.,travel,582.7,Expense,2022-02
2022-02-05,Think live bad total research.,shopping,1792.56,Expense,2022-02
2022-02-06,Too song quality per build.,health & fitness,1909.67,Expense,2022-02
2022-02-08,We cold deep.,travel,93.71,Expense,2022-02
2022-02-08,Amount bad raise.,rent,699.26,Expense,2022-02
2022-02-09,Challenge organization floor road southern.,travel,1497.2,Expense,2022-02
2022-02-10,News need task mind.,travel,1866.72,Expense,2022-02
2022-02-10,Onto site both change note.,utilities,227.36,Expense,2022-02
2022-02-10,Understand none.,entertainment,492.49,Expense,2022-02
2022-02-10,Test they there.,entertainment,1279.51,Expense,2022-02
2022-02-11,Pressure occur list common.,other,3205.0,Income,2022-02
2022-02-14,Peace race i.,rent,1365.57,Expense,2022-02
2022-02-17,Real any little environmental.,investment,3833.0,Income,2022-02
2022-02-17,Full soldier.,salary,960.12,Expense,2022-02
2022-02-17,Successful teach range.,other,3131.0,Income,2022-02
2022-02-17,Feel season similar.,food & drink,1816.79,Expense,2022-02
2022-02-18,Rock painting become.,investment,4883.0,Income,2022-02
2022-02-21,Tree imagine machine.,food & drink,1827.33,Expense,2022-02
2022-02-22,Start middle city find.,investment,797.0,Income,2022-02
2022-02-22,Career surface these ahead.,shopping,1578.04,Expense,2022-02
2022-02-25,Student economic lead.,other,806.0,Income,2022-02
2022-02-27,Ever statement measure.,investment,3244.0,Income,2022-02
2022-03-01,Drop major.,salary,1779.63,Expense,2022-03
2022-03-02,Whether listen necessary.,other,2735.0,Income,2022-03
2022-03-04,Study else store.,investment,3208.0,Income,2022-03
2022-03-05,Agree anyone take.,other,2607.0,Income,2022-03
2022-03-07,Positive question especially.,food & drink,1475.87,Expense,2022-03
2022-03-07,After sister should across treatment.,entertainment,359.23,Expense,2022-03
2022-03-12,Song difference part wall require.,shopping,1655.71,Expense,2022-03
2022-03-14,Time surface learn design.,rent,807.66,Expense,2022-03
2022-03-17,Station however bill memory production.,investment,4411.0,Income,2022-03
2022-03-17,Positive participant fear blue as.,entertainment,23.59,Expense,2022-03
2022-03-18,Technology end represent throughout.,salary,1509.98,Expense,2022-03
2022-03-18,Change she tonight.,travel,1169.1,Expense,2022-03
2022-03-18,Race return pretty young.,travel,1310.83,Expense,2022-03
2022-03-20,Identify say on yes.,food & drink,1338.89,Expense,2022-03
2022-03-20,Risk develop movement size.,utilities,816.78,Expense,2022-03
2022-03-22,Feel color price next.,travel,1383.68,Expense,2022-03
2022-03-23,Likely scientist.,travel,741.41,Expense,2022-03
2022-03-23,Water tonight pressure.,utilities,961.58,Expense,2022-03
2022-03-24,Development the inside thought.,health & fitness,837.53,Expense,2022-03
2022-03-25,One less brother.,salary,1517.13,Expense,2022-03
2022-03-26,Oil per line create build.,entertainment,1526.1,Expense,2022-03
2022-03-27,Fear approach take case customer.,rent,1055.76,Expense,2022-03
2022-03-28,Throughout would century television congress.,health & fitness,165.42,Expense,2022-03
2022-03-28,Forward would finish around.,food & drink,1659.26,Expense,2022-03
2022-03-28,Decide similar office.,entertainment,1149.68,Expense,2022-03
2022-03-28,Size sister can its.,other,4762.0,Income,2022-03
2022-03-29,Investment local above move.,entertainment,1436.67,Expense,2022-03
2022-03-29,Throughout series.,salary,1619.3,Expense,2022-03
2022-03-31,Adult above safe.,shopping,919.03,Expense,2022-03
2022-03-31,Fine bill me fill.,other,3024.0,Income,2022-03
2022-03-31,Fear fact.,shopping,516.37,Expense,2022-03
2022-04-01,Model its rather card you.,investment,1098.0,Income,2022-04
2022-04-01,Seek close trade speech.,other,1022.0,Income,2022-04
2022-04-01,Difference world deep.,food & drink,1869.82,Expense,2022-04
2022-04-01,Mean but represent society heart.,other,759.0,Income,2022-04
2022-04-02,Perhaps order answer blue structure.,utilities,1540.25,Expense,2022-04
2022-04-02,Indicate herself.,shopping,755.18,Expense,2022-04
2022-04-03,Listen check receive.,salary,1740.54,Expense,2022-04
2022-04-03,Inside big minute.,shopping,169.7,Expense,2022-04
2022-04-04,Store bit responsibility brother.,utilities,1310.53,Expense,2022-04
2022-04-05,Marriage participant.,utilities,1985.77,Expense,2022-04
2022-04-08,Win group important civil nature.,utilities,1458.44,Expense,2022-04
2022-04-09,Former able public trade.,food & drink,1514.8,Expense,2022-04
2022-04-09,Chance bed memory rich.,salary,1350.26,Expense,2022-04
2022-04-10,Popular lead with.,shopping,1648.49,Expense,2022-04
2022-04-10,Anyone spend them system.,health & fitness,318.69,Expense,2022-04
2022-04-16,International break surface three.,investment,763.0,Income,2022-04
2022-04-18,Professional color group.,shopping,1233.7,Expense,2022-04
2022-04-18,Environmental run head garden box.,food & drink,488.93,Expense,2022-04
2022-04-21,Even history surface son.,investment,4157.0,Income,2022-04
2022-04-22,Car risk.,food & drink,497.02,Expense,2022-04
2022-04-22,Indeed opportunity.,other,2419.0,Income,2022-04
2022-04-24,Consider here grow agreement.,food & drink,288.87,Expense,2022-04
2022-04-24,Turn both in animal.,entertainment,1633.41,Expense,2022-04
2022-04-29,Actually than modern season.,health & fitness,1159.17,Expense,2022-04
2022-04-30,Within prove full.,health & fitness,481.44,Expense,2022-04
2022-05-02,Believe product eat generation put.,entertainment,832.98,Expense,2022-05
2022-05-02,Stuff next write.,utilities,1255.73,Expense,2022-05
2022-05-03,Poor church.,salary,103.3,Expense,2022-05
2022-05-05,Thank avoid man drive.,shopping,1573.75,Expense,2022-05
2022-05-05,Medical nearly.,shopping,822.44,Expense,2022-05
2022-05-06,Stage bad know of.,utilities,1511.29,Expense,2022-05
2022-05-07,Language budget market president.,entertainment,608.47,Expense,2022-05
2022-05-07,Include news a before.,salary,1830.33,Expense,2022-05
2022-05-07,None pressure lay future stay.,shopping,1119.0,Expense,2022-05
2022-05-08,Forward should outside respond.,investment,2588.0,Income,2022-05
2022-05-08,Box service develop game.,rent,1845.23,Expense,2022-05
2022-05-09,Miss reduce animal clearly cell.,rent,1075.91,Expense,2022-05
2022-05-09,Effect cultural.,food & drink,544.24,Expense,2022-05
2022-05-11,Democratic station course full.,food & drink,1748.5,Expense,2022-05
2022-05-13,Unit study.,investment,4427.0,Income,2022-05
2022-05-13,Leader operation mean white.,health & fitness,613.34,Expense,2022-05
2022-05-14,Save network item one under.,entertainment,1874.95,Expense,2022-05
2022-05-19,Community spring billion price paper.,rent,1496.29,Expense,2022-05
2022-05-19,Thing industry participant realize.,entertainment,1394.3,Expense,2022-05
2022-05-20,Huge garden family.,shopping,1831.1,Expense,2022-05
2022-05-20,Include record security.,travel,767.52,Expense,2022-05
2022-05-22,Team republican very plan cut.,health & fitness,623.76,Expense,2022-05
2022-05-23,Tv car report window.,salary,937.35,Expense,2022-05
2022-05-24,My pm report set.,salary,1525.64,Expense,2022-05
2022-05-24,Old wall report purpose.,entertainment,747.7,Expense,2022-05
2022-05-25,There institution actually.,entertainment,1485.09,Expense,2022-05
2022-05-27,Herself apply.,other,2918.0,Income,2022-05
2022-05-28,Environment size worker.,other,2384.0,Income,2022-05
2022-05-29,Style real far.,entertainment,1003.61,Expense,2022-05
2022-05-29,Grow laugh.,health & fitness,522.08,Expense,2022-05
2022-05-30,Score night down.,salary,927.05,Expense,2022-05
2022-05-30,Unit hold.,health & fitness,346.84,Expense,2022-05
2022-05-31,Approach season data than team.,salary,376.26,Expense,2022-05
2022-06-01,Treatment relate positive.,food & drink,1052.65,Expense,2022-06
2022-06-01,Cultural right cover large work.,rent,1890.92,Expense,2022-06
2022-06-04,While same budget.,food & drink,830.66,Expense,2022-06
2022-06-04,Evidence enough claim suffer.,entertainment,145.26,Expense,2022-06
2022-06-06,Letter visit always up.,investment,4642.0,Income,2022-06
2022-06-07,Past product make of group.,food & drink,1239.49,Expense,2022-06
2022-06-07,Detail contain attention measure indeed.,salary,1321.98,Expense,2022-06
2022-06-11,Begin determine degree forward.,other,597.0,Income,2022-06
2022-06-11,Despite sell most.,other,4888.0,Income,2022-06
2022-06-12,Boy generation.,food & drink,1009.41,Expense,2022-06
2022-06-12,Truth during always those high.,shopping,1614.27,Expense,2022-06
2022-06-12,Either rich agency might.,rent,1836.92,Expense,2022-06
2022-06-13,Sort knowledge analysis together court.,entertainment,391.94,Expense,2022-06
2022-06-17,Way cold.,health & fitness,541.98,Expense,2022-06
2022-06-17,Account assume prove similar ten.,health & fitness,1919.0,Expense,2022-06
2022-06-18,Day stock.,entertainment,1980.56,Expense,2022-06
2022-06-19,Section child.,rent,1310.93,Expense,2022-06
2022-06-20,Also available concern edge.,food & drink,196.07,Expense,2022-06
2022-06-21,Start treat imagine later identify.,salary,121.67,Expense,2022-06
2022-06-21,Hope brother.,investment,1177.0,Income,2022-06
2022-06-23,As second animal summer group.,shopping,1293.37,Expense,2022-06
2022-06-23,Face rate.,rent,1790.63,Expense,2022-06
2022-06-25,She join house.,entertainment,430.72,Expense,2022-06
2022-06-25,Choose detail section someone.,salary,549.48,Expense,2022-06
2022-06-26,Whether century quality.,travel,1799.63,Expense,2022-06
2022-06-26,Network never.,food & drink,366.92,Expense,2022-06
2022-06-30,Above others.,food & drink,1923.32,Expense,2022-06
2022-07-01,Water fight security tough gas.,shopping,1858.46,Expense,2022-07
2022-07-02,Central contain pattern education boy.,entertainment,1137.72,Expense,2022-07
2022-07-04,Surface usually.,health & fitness,773.85,Expense,2022-07
2022-07-04,Popular available public economy.,rent,1006.58,Expense,2022-07
2022-07-04,Maintain former campaign pretty beyond.,food & drink,204.39,Expense,2022-07
2022-07-05,Fish late pattern.,rent,687.78,Expense,2022-07
2022-07-06,Charge note space when collection.,shopping,1938.15,Expense,2022-07
2022-07-13,Size republican political.,travel,1569.26,Expense,2022-07
2022-07-17,Care run there leg.,entertainment,718.06,Expense,2022-07
2022-07-17,Main board population.,shopping,379.62,Expense,2022-07
2022-07-17,Teach cause mrs.,shopping,180.53,Expense,2022-07
2022-07-18,Baby away affect medical all.,entertainment,1429.09,Expense,2022-07
2022-07-18,If operation trade necessary myself.,investment,3612.0,Income,2022-07
2022-07-19,President chance hotel through.,utilities,1481.91,Expense,2022-07
2022-07-20,Let member however.,rent,192.13,Expense,2022-07
2022-07-22,Production summer.,salary,726.24,Expense,2022-07
2022-07-25,Cell city not not the.,utilities,183.72,Expense,2022-07
2022-07-27,Voice american seven discussion.,shopping,215.55,Expense,2022-07
2022-07-27,Doctor protect military social.,investment,3157.0,Income,2022-07
2022-07-27,Truth thing always possible.,food & drink,590.78,Expense,2022-07
2022-07-27,Plant event score official now.,rent,1452.44,Expense,2022-07
2022-07-28,Half president structure might.,entertainment,1148.2,Expense,2022-07
2022-07-28,Might good test.,other,1888.0,Income,2022-07
2022-07-29,Thought according think key.,other,2698.0,Income,2022-07
2022-07-30,Method exactly.,rent,342.74,Expense,2022-07
2022-07-31,Church own stage.,travel,973.62,Expense,2022-07
2022-08-02,Specific result loss long.,other,2520.0,Income,2022-08
2022-08-02,Claim street against amount of.,salary,1191.67,Expense,2022-08
2022-08-03,Picture always occur.,investment,1609.0,Income,2022-08
2022-08-04,Election conference when.,shopping,671.11,Expense,2022-08
2022-08-06,These road.,health & fitness,886.04,Expense,2022-08
2022-08-07,Describe paper.,utilities,607.87,Expense,2022-08
2022-08-12,Color store over some.,entertainment,963.23,Expense,2022-08
2022-08-13,Process enough right garden law.,other,3114.0,Income,2022-08
2022-08-15,Her car admit.,salary,1935.85,Expense,2022-08
2022-08-15,Range step painting concern.,health & fitness,758.35,Expense,2022-08
2022-08-16,Me brother lot candidate owner.,shopping,736.38,Expense,2022-08
2022-08-16,Miss have analysis morning.,entertainment,1188.53,Expense,2022-08
2022-08-17,Smile high open scientist.,food & drink,1906.48,Expense,2022-08
2022-08-18,International effort.,entertainment,882.53,Expense,2022-08
2022-08-19,Exist theory.,rent,1639.74,Expense,2022-08
2022-08-21,Country remember smile.,shopping,1349.23,Expense,2022-08
2022-08-21,Brother according pressure reach firm.,other,2482.0,Income,2022-08
2022-08-22,Choice prepare.,utilities,1433.32,Expense,2022-08
2022-08-22,Talk interest hand.,rent,903.64,Expense,2022-08
2022-08-23,Sense including six lot.,shopping,1073.39,Expense,2022-08
2022-08-24,Never effect fill general relationship.,shopping,1091.85,Expense,2022-08
2022-08-26,Security land record.,health & fitness,1406.25,Expense,2022-08
2022-08-26,Democrat hundred.,rent,227.65,Expense,2022-08
2022-08-28,Pass range appear home player.,health & fitness,341.01,Expense,2022-08
2022-08-29,Likely outside because.,shopping,1933.95,Expense,2022-08
2022-08-30,He participant right.,shopping,220.83,Expense,2022-08
2022-08-31,Prevent expert white arm similar.,investment,4683.0,Income,2022-08
2022-08-31,Keep cut prevent sound.,entertainment,897.1,Expense,2022-08
2022-09-01,Almost outside middle.,utilities,696.49,Expense,2022-09
2022-09-02,College already dream a church.,investment,2920.0,Income,2022-09
2022-09-03,Good house only military.,rent,240.98,Expense,2022-09
2022-09-03,Near risk.,utilities,703.17,Expense,2022-09
2022-09-03,Give white everybody paper create.,entertainment,1047.02,Expense,2022-09
2022-09-04,Above company media next me.,rent,881.95,Expense,2022-09
2022-09-04,Sort what.,health & fitness,143.68,Expense,2022-09
2022-09-05,Economic kind help low during.,investment,685.0,Income,2022-09
2022-09-06,Race to television loss.,rent,1357.51,Expense,2022-09
2022-09-07,Him small.,investment,4727.0,Income,2022-09
2022-09-08,Son include good.,investment,3211.0,Income,2022-09
2022-09-10,Red enjoy.,salary,471.39,Expense,2022-09
2022-09-11,Human see.,utilities,380.91,Expense,2022-09
2022-09-11,Never condition.,shopping,68.09,Expense,2022-09
2022-09-12,Despite off consumer second.,entertainment,904.65,Expense,2022-09
2022-09-14,Say dog drug enter.,food & drink,1412.42,Expense,2022-09
2022-09-15,Strong student green.,rent,1158.92,Expense,2022-09
2022-09-15,Turn put professional.,utilities,737.93,Expense,2022-09
2022-09-17,When summer he firm together.,investment,2649.0,Income,2022-09
2022-09-18,Make worker trouble.,salary,1060.15,Expense,2022-09
2022-09-19,Develop office approach son.,shopping,1226.5,Expense,2022-09
2022-09-19,Allow girl team simply lead.,health & fitness,710.45,Expense,2022-09
2022-09-21,Least ready activity decision ok.,utilities,1629.34,Expense,2022-09
2022-09-23,Party employee nature down.,travel,1838.18,Expense,2022-09
2022-09-26,Gas contain interest industry sell.,utilities,633.24,Expense,2022-09
2022-09-26,Evidence conference capital office.,rent,374.26,Expense,2022-09
2022-09-28,Result sound.,shopping,842.3,Expense,2022-09
2022-09-29,Task cultural son school.,other,3965.0,Income,2022-09
2022-09-29,Computer matter.,investment,1866.0,Income,2022-09
2022-09-30,Result size feel no nothing.,utilities,382.33,Expense,2022-09
2022-10-01,Real art.,food & drink,1732.39,Expense,2022-10
2022-10-02,Stuff benefit seat employee.,salary,281.7,Expense,2022-10
2022-10-03,Newspaper special general in go.,salary,824.18,Expense,2022-10
2022-10-04,Office power company sister great.,salary,982.51,Expense,2022-10
2022-10-04,Simple land bad party.,investment,2306.0,Income,2022-10
2022-10-05,What than political up instead.,travel,457.44,Expense,2022-10
2022-10-08,Support author class direction.,salary,1135.64,Expense,2022-10
2022-10-10,Report painting house.,salary,1103.96,Expense,2022-10
2022-10-12,Security minute late cold.,investment,2694.0,Income,2022-10
2022-10-12,Road product wait.,health & fitness,1088.67,Expense,2022-10
2022-10-13,Cold billion as.,salary,1097.24,Expense,2022-10
2022-10-19,Approach side model you billion.,rent,1474.62,Expense,2022-10
2022-10-19,Pressure those.,entertainment,602.44,Expense,2022-10
2022-10-20,Easy exist phone.,salary,533.0,Expense,2022-10
2022-10-21,Stuff agreement professional team foot.,rent,883.75,Expense,2022-10
2022-10-22,Window music evening know.,entertainment,427.66,Expense,2022-10
2022-10-23,Opportunity lead see.,health & fitness,1723.49,Expense,2022-10
2022-10-25,Model police finally girl.,shopping,340.3,Expense,2022-10
2022-10-28,Source kind hand.,investment,2195.0,Income,2022-10
2022-10-30,Field a spring.,health & fitness,1069.24,Expense,2022-10
2022-10-31,Expert movement reach man.,utilities,654.07,Expense,2022-10
2022-11-03,Across involve fall.,travel,1149.74,Expense,2022-11
2022-11-04,Nature country.,rent,279.82,Expense,2022-11
2022-11-05,House clear say hope.,shopping,1838.35,Expense,2022-11
2022-11-07,Enjoy instead dream.,utilities,1405.84,Expense,2022-11
2022-11-07,Possible mother especially.,investment,3138.0,Income,2022-11
2022-11-09,Consumer face.,shopping,984.02,Expense,2022-11
2022-11-10,Laugh red man fly charge.,travel,1259.35,Expense,2022-11
2022-11-13,Control bill.,rent,1270.92,Expense,2022-11
2022-11-14,Resource road do.,rent,811.67,Expense,2022-11
2022-11-14,Management game.,health & fitness,914.84,Expense,2022-11
